os_type,firewall_status,inbound_rules,outbound_rules,active_profiles,last_updated,is_secure,risk_score
Windows,Active,45,22,3,2024-01-15,Yes,5
Windows,Active,38,18,2,2024-02-20,Yes,8
Windows,Inactive,0,0,0,2023-11-01,No,95
Windows,Active,52,28,3,2024-03-10,Yes,3
Windows,Partially_Active,15,8,1,2024-01-05,No,65
Linux,Active,30,15,2,2024-03-25,Yes,5
Linux,Active,25,12,1,2024-02-14,Yes,8
Linux,Inactive,0,0,0,2023-09-30,No,95
Linux,Partially_Active,10,5,1,2024-01-10,No,60
Linux,Active,40,20,3,2024-03-30,Yes,3
macOS,Active,20,10,2,2024-03-28,Yes,5
macOS,Inactive,0,0,0,2023-12-01,No,95
macOS,Active,18,8,1,2024-02-20,Yes,8
macOS,Partially_Active,8,3,1,2024-01-15,No,60
Windows,Active,55,30,3,2024-04-01,Yes,2
Linux,Active,35,18,2,2024-03-20,Yes,4
macOS,Active,22,12,2,2024-03-15,Yes,5
Windows,Inactive,0,0,0,2023-10-15,No,95
Linux,Partially_Active,12,6,1,2024-02-01,No,62
Windows,Active,48,25,3,2024-04-05,Yes,3
