url_len,host_len,fd_len,dot_count,hyphen_count,underscore_count,percent_count,query_count,slash_count,digit_count,letter_count,dir_count,has_ip,label
17,35,5,2,0,0,0,0,2,6,22,2,0,0
18,35,4,2,0,0,0,0,2,6,22,2,0,0
23,38,6,2,0,0,0,0,1,6,26,1,0,0
24,41,4,2,0,0,0,0,2,9,25,2,0,0
25,42,4,2,0,0,0,0,2,9,26,2,0,0
20,38,9,2,0,0,0,0,1,6,26,1,0,0
19,37,6,2,0,0,0,0,2,6,24,2,0,0
20,29,0,2,0,0,0,0,1,0,23,0,0,0
19,28,0,2,0,0,0,0,1,0,22,0,0,0
10,34,7,1,0,0,0,0,2,0,28,2,0,0
18,35,4,2,0,0,0,0,2,6,22,2,0,0
21,41,2,2,0,0,0,0,3,10,23,3,0,0
23,51,7,2,0,0,0,0,3,9,34,3,0,0
21,47,3,2,0,0,0,0,3,9,30,3,0,0
17,33,4,2,0,0,0,0,2,4,22,2,0,0
24,41,4,2,0,0,0,0,2,9,25,2,0,0
21,38,4,2,0,0,0,0,2,9,22,2,0,0
23,38,6,2,0,0,0,0,1,6,26,1,0,0
10,28,8,1,0,0,0,0,2,0,22,1,0,0
21,40,6,2,0,0,0,0,2,9,24,2,0,0
18,42,7,2,0,0,0,0,2,6,29,2,0,0
14,42,8,2,0,0,0,0,2,0,35,2,0,0
10,65,5,1,0,0,0,0,2,1,53,2,0,0
18,35,4,2,0,0,0,0,2,6,22,2,0,0
22,41,6,2,0,0,0,0,2,9,25,2,0,0
10,23,4,1,0,0,0,0,1,0,18,1,0,0
20,49,6,2,0,0,0,0,3,9,31,3,0,0
21,38,4,2,0,0,0,0,2,9,22,2,0,0
21,40,6,2,0,0,0,0,2,9,24,2,0,0
22,41,6,2,0,0,0,0,2,9,25,2,0,0
21,30,0,2,0,0,0,0,1,0,24,0,0,0
23,38,6,2,0,0,0,0,1,6,26,1,0,0
20,38,6,2,0,0,0,0,2,6,25,2,0,0
14,23,0,1,0,0,0,0,1,0,18,0,0,0
21,41,2,2,0,0,0,0,3,10,23,3,0,0
23,38,6,2,0,0,0,0,1,6,26,1,0,0
18,35,4,2,0,0,0,0,2,6,22,2,0,0
17,35,5,2,0,0,0,0,2,6,22,2,0,0
17,35,5,2,0,0,0,0,2,6,22,2,0,0
21,41,7,2,0,0,0,0,2,9,25,2,0,0
21,41,2,2,0,0,0,0,3,10,23,3,0,0
21,41,7,2,0,0,0,0,2,9,25,2,0,0
21,41,2,2,0,0,0,0,3,10,23,3,0,0
18,42,7,2,0,0,0,0,2,6,29,2,0,0
21,41,7,2,0,0,0,0,2,9,25,2,0,0
20,38,9,2,0,0,0,0,1,6,26,1,0,0
25,42,4,2,0,0,0,0,2,9,26,2,0,0
17,35,5,2,0,0,0,0,2,6,22,2,0,0
11,20,0,2,0,0,0,0,1,0,14,0,0,0
25,34,0,2,0,0,0,0,1,0,28,0,0,0
20,49,6,2,0,0,0,0,3,9,31,3,0,0
23,51,7,2,0,0,0,0,3,9,34,3,0,0
18,41,4,2,0,0,0,0,2,0,34,2,0,0
21,40,6,2,0,0,0,0,2,9,24,2,0,0
21,41,2,2,0,0,0,0,3,10,23,3,0,0
21,40,6,2,0,0,0,0,2,9,24,2,0,0
10,35,8,1,0,0,0,0,2,0,29,2,0,0
15,63,6,2,0,0,0,0,2,3,48,2,0,0
17,35,5,2,0,0,0,0,2,6,22,2,0,0
14,31,7,2,0,0,0,0,2,0,24,1,0,0
20,38,6,2,0,0,0,0,2,6,25,2,0,0
10,53,8,1,0,0,0,0,2,0,44,2,0,0
22,41,6,2,0,0,0,0,2,9,25,2,0,0
21,41,7,2,0,0,0,0,2,9,25,2,0,0
25,42,4,2,0,0,0,0,2,9,26,2,0,0
22,38,2,2,0,0,0,0,3,2,27,2,0,0
21,41,2,2,0,0,0,0,3,10,23,3,0,0
10,36,10,1,0,0,0,0,2,0,29,2,0,0
16,43,4,2,0,0,0,0,4,3,31,4,0,0
22,41,6,2,0,0,0,0,2,9,25,2,0,0
23,38,6,2,0,0,0,0,1,6,26,1,0,0
14,39,8,2,0,0,0,0,2,0,32,2,0,0
21,40,6,2,0,0,0,0,2,9,24,2,0,0
20,38,9,2,0,0,0,0,1,6,26,1,0,0
21,38,4,2,0,0,0,0,2,9,22,2,0,0
21,36,6,2,0,0,0,0,1,4,26,1,0,0
20,49,6,2,0,0,0,0,3,9,31,3,0,0
23,38,6,2,0,0,0,0,1,6,26,1,0,0
21,38,4,2,0,0,0,0,2,9,22,2,0,0
24,41,4,2,0,0,0,0,2,9,25,2,0,0
23,38,6,2,0,0,0,0,1,6,26,1,0,0
21,48,7,2,0,0,0,0,3,6,34,3,0,0
23,38,6,2,0,0,0,0,1,6,26,1,0,0
19,35,4,2,0,0,0,0,2,6,22,2,0,0
19,44,3,2,0,0,0,0,3,6,30,3,0,0
22,41,6,2,0,0,0,0,2,9,25,2,0,0
18,42,7,2,0,0,0,0,2,6,29,2,0,0
21,41,2,2,0,0,0,0,3,10,23,3,0,0
18,46,6,2,0,0,0,0,3,6,31,3,0,0
24,41,4,2,0,0,0,0,2,9,25,2,0,0
25,42,4,2,0,0,0,0,2,9,26,2,0,0
21,40,6,2,0,0,0,0,2,9,24,2,0,0
16,32,7,2,0,0,0,0,1,0,26,1,0,0
18,35,4,2,0,0,0,0,2,6,22,2,0,0
19,38,2,2,0,0,0,0,3,7,23,3,0,0
23,51,7,2,0,0,0,0,3,9,34,3,0,0
21,41,7,2,0,0,0,0,2,9,25,2,0,0
22,41,6,2,0,0,0,0,2,9,25,2,0,0
10,27,2,1,0,0,0,0,3,0,20,2,0,0
18,42,7,2,0,0,0,0,2,6,29,2,0,0
20,38,9,2,0,0,0,0,1,6,26,1,0,0
20,38,9,2,0,0,0,0,1,6,26,1,0,0
12,36,10,1,0,0,0,0,3,0,29,2,0,0
22,41,6,2,0,0,0,0,2,9,25,2,0,0
21,38,4,2,0,0,0,0,2,9,22,2,0,0
23,51,7,2,0,0,0,0,3,9,34,3,0,0
18,42,7,2,0,0,0,0,2,6,29,2,0,0
10,36,10,1,0,0,0,0,2,0,29,2,0,0
16,36,10,2,0,0,0,0,2,0,29,1,0,0
9,23,5,1,0,0,0,0,1,0,18,1,0,0
16,38,5,2,0,0,0,0,2,2,29,2,0,0
10,39,5,1,0,0,0,0,2,0,32,2,0,0
21,38,4,2,0,0,0,0,2,9,22,2,0,0
22,41,6,2,0,0,0,0,2,9,25,2,0,0
24,41,4,2,0,0,0,0,2,9,25,2,0,0
12,34,6,1,0,0,0,0,2,0,28,2,0,0
20,38,9,2,0,0,0,0,1,6,26,1,0,0
25,42,4,2,0,0,0,0,2,9,26,2,0,0
