process_name,pid,cpu_percent,memory_percent,num_threads,num_connections,is_signed,is_system,risk_score,suspicious
svchost.exe,456,2.5,1.2,45,12,1,1,2,0
explorer.exe,1234,1.8,3.5,22,0,1,1,3,0
chrome.exe,2345,15.2,8.9,56,8,1,0,5,0
firefox.exe,3456,8.3,5.1,34,6,1,0,4,0
powershell.exe,5678,45.3,12.4,18,3,1,0,35,1
cmd.exe,6789,0.5,0.8,4,0,1,0,5,0
nc.exe,7890,0.2,0.3,2,5,0,0,85,1
ncat.exe,8901,1.5,0.7,3,8,0,0,90,1
nmap.exe,9012,12.3,2.1,6,15,0,0,80,1
python.exe,1011,65.4,22.5,5,2,1,0,30,0
minerd.exe,1112,99.8,15.3,8,12,0,0,95,1
xmrig.exe,1213,98.5,18.7,10,14,0,0,95,1
keylogger.exe,1314,0.8,0.9,3,1,0,0,90,1
meterpreter.exe,1415,2.3,4.5,6,3,0,0,88,1
beacon.exe,1516,1.2,2.8,5,4,0,0,85,1
vssadmin.exe,1617,0.3,0.5,2,0,1,1,10,0
wscript.exe,1718,8.9,5.6,4,2,1,0,45,1
cscript.exe,1819,6.7,4.3,3,1,1,0,40,1
regsvr32.exe,1920,3.4,2.1,5,0,1,0,35,1
rundll32.exe,2021,2.1,1.8,8,1,1,0,20,0
mshta.exe,2122,12.5,8.9,6,3,1,0,55,1
hydra.exe,2223,25.6,4.3,12,20,0,0,92,1
john.exe,2324,89.4,12.5,8,0,0,0,80,1
hashcat.exe,2425,95.2,15.8,16,0,0,0,85,1
aircrack.exe,2526,45.6,6.7,4,0,0,0,78,1
burpsuite.exe,2627,55.3,18.9,12,5,0,0,75,1
sqlmap.exe,2728,35.8,8.2,8,8,0,0,82,1
msbuild.exe,2829,12.3,6.7,6,2,0,0,50,1
csc.exe,2930,45.6,10.2,8,0,1,0,25,0
taskhostw.exe,3031,1.2,0.9,6,2,1,1,3,0
